Conference,School,City,State,School Type,Undergrad Enrollment,Admission Rate,Graduation Rate (6-yr),Median Earnings (10 yrs post-entry),Median Earnings (6 yrs post-entry),Median Debt at Graduation,Avg Annual Cost (Net Price),SAT Range (25th-75th)
Ivy League,Harvard University,Cambridge,MA,Private Nonprofit,7300,4%,97%,$97100,$82800,$12800,$17000,1510-1580
Ivy League,Yale University,New Haven,CT,Private Nonprofit,6600,4%,97%,$91600,$73600,$11800,$17600,1510-1580
Ivy League,Princeton University,Princeton,NJ,Private Nonprofit,5500,4%,97%,$90700,$72400,$8700,$15500,1510-1570
Ivy League,Columbia University,New York,NY,Private Nonprofit,9000,4%,96%,$100700,$82600,$20500,$18800,1510-1570
Ivy League,University of Pennsylvania,Philadelphia,PA,Private Nonprofit,10200,6%,96%,$105500,$85900,$18300,$24300,1510-1560
Ivy League,Dartmouth College,Hanover,NH,Private Nonprofit,4400,6%,95%,$86400,$73200,$14500,$22600,1490-1560
Ivy League,Brown University,Providence,RI,Private Nonprofit,7000,5%,96%,$80400,$65900,$16700,$26000,1490-1560
Ivy League,Cornell University,Ithaca,NY,Private Nonprofit,15000,7%,95%,$90700,$74200,$19500,$28500,1450-1540
Missouri Valley Conference,Belmont University,Nashville,TN,Private Nonprofit,8700,72%,72%,$52100,$41500,$26500,$29200,1060-1270
Missouri Valley Conference,Bradley University,Peoria,IL,Private Nonprofit,4000,70%,76%,$52900,$42700,$25600,$24800,1090-1300
Missouri Valley Conference,Drake University,Des Moines,IA,Private Nonprofit,3300,65%,76%,$55200,$44700,$24700,$28500,1140-1330
Missouri Valley Conference,University of Evansville,Evansville,IN,Private Nonprofit,2100,60%,63%,$47600,$39000,$25200,$22400,1060-1270
Missouri Valley Conference,Illinois State University,Normal,IL,Public,19000,75%,66%,$48000,$39700,$22900,$16800,990-1180
Missouri Valley Conference,Indiana State University,Terre Haute,IN,Public,10000,92%,44%,$43500,$35800,$24000,$13900,930-1130
Missouri Valley Conference,Murray State University,Murray,KY,Public,8100,75%,56%,$41900,$34500,$21600,$16600,970-1180
Missouri Valley Conference,University of Northern Iowa,Cedar Falls,IA,Public,8600,83%,61%,$46400,$38700,$21700,$14900,1010-1200
Missouri Valley Conference,Southern Illinois University Edwardsville,Edwardsville,IL,Public,12000,85%,55%,$46800,$39000,$22800,$14100,960-1160
Missouri Valley Conference,University of Illinois Chicago (UIC),Chicago,IL,Public,22000,77%,56%,$52100,$41200,$20500,$15800,1010-1220
Missouri Valley Conference,Valparaiso University,Valparaiso,IN,Private Nonprofit,2600,63%,68%,$49700,$40800,$26200,$24000,1080-1280
